========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
599	40632	35921	1.13x
600	40580	36446	1.11x
601	40627	36413	1.12x
602	40584	36420	1.11x
603	40567	46463	0.87x
604	40750	35898	1.14x
605	40567	35920	1.13x
606	40658	35908	1.13x
607	40632	35860	1.13x
608	40607	35808	1.13x
609	40628	35872	1.13x
610	40622	36503	1.11x
611	40645	36425	1.12x
612	40631	35909	1.13x
613	40582	35957	1.13x
614	40594	35918	1.13x
615	40614	35884	1.13x
616	40625	36468	1.11x
617	40639	35888	1.13x
618	40681	36440	1.12x
619	40539	35906	1.13x
620	40598	35852	1.13x
621	40609	36540	1.11x
622	40619	35814	1.13x
623	40662	36471	1.11x
624	40555	36361	1.12x
625	40662	35951	1.13x
626	40588	35935	1.13x
627	40635	35911	1.13x
628	40580	36537	1.11x
629	40618	36449	1.11x
630	70527	43859	1.61x
631	57545	35979	1.60x
632	40640	36481	1.11x
633	40619	36448	1.11x
634	40590	36399	1.12x
635	40628	35899	1.13x
636	40679	35917	1.13x
637	40614	36555	1.11x
638	40611	35913	1.13x
639	40557	35845	1.13x
640	40645	35880	1.13x
641	40616	36454	1.11x
642	40642	36477	1.11x
643	40655	36432	1.12x
644	40604	35896	1.13x
645	40632	36517	1.11x
646	40613	36489	1.11x
647	40625	36428	1.12x
648	40545	35876	1.13x
649	40647	35887	1.13x
650	40609	36566	1.11x
651	40635	36538	1.11x
652	40570	36518	1.11x
653	40572	35913	1.13x
654	40652	35867	1.13x
655	40585	35833	1.13x
656	40646	35812	1.13x
657	40594	36432	1.11x
658	40619	36378	1.12x
659	40644	36550	1.11x
660	40624	35860	1.13x
661	40651	35880	1.13x
662	40595	35891	1.13x
663	78010	41910	1.86x
664	60278	53592	1.12x
665	49537	55883	0.89x
666	40605	35949	1.13x
667	40689	35832	1.14x
668	40641	35970	1.13x
669	40580	35904	1.13x
670	40724	36462	1.12x
671	40623	36455	1.11x
672	40629	36513	1.11x
